name,address,descriptio,Ort,Datum,Öffnungsz,Corona-Reg,Beschreibu,Website,Country
Stuttgarter Weihnachtsmarkt,"Marktplatz 1, 70173 Stuttgart","Ort: Marktplatz 1, 70173 Stuttgart<br>Datum: 24. November bis 30. Dezember<br>Öffnungszeiten: • Montag bis Donnerstag: 10 bis 21 Uhr<br>• Freitag bis Samstag: 10 bis 22 Uhr<br>• Sonntag: 11 bis 21 Uhr<br>• 24. Dezember: 10 bis 15 Uhr<br>• 25.","Marktplatz 1, 70173 Stuttgart",24. November bis 30. Dezember,"• Montag bis Donnerstag: 10 bis 21 Uhr
• Freitag bis Samstag: 10 bis 22 Uhr
• Sonntag: 11 bis 21 Uhr
• 24. Dezember: 10 bis 15 Uhr
• 25. Dezember: geschlossen
• 26. Dezember: 11 bis 21 Uhr
","• 2G-Regel und Maskenpflicht auf dem gesamten Weihnachtsmarkt
• Für Essens- und Glühweinstände gibt es einen eingezäunten Bereich, hier gilt 2G-Plus - das heißt, es wird zusätzlich noch ein negativer Test benötigt.","Der Weihnachtsmarkt findet in diesem Jahr statt, die genaue Umsetzung wird noch geplant. Im Vergleich zu den letzten Jahren wird er um eine Woche verlängert. Das hatte der Stuttgarter Gemeinderat im Juli beschlossen, um den Schaustellern nach der erneut",https://www.stuttgarter-weihnachtsmarkt.de/de/home/,Germany
Esslinger Mittelalter- und Weihnachtsmarkt,"Rathausplatz, 73728 Esslingen am Neckar","Ort: Rathausplatz, 73728 Esslingen am Neckar<br>Datum: 23. November bis 22. Dezember<br>Öffnungszeiten: •Eröffnungstag: 16 bis 20 Uhr <br>•Sonntag bis Donnerstag: 12 bis 20 Uhr<br>•Freitag bis Samstag: 12 bis 21 Uhr<br><br>Corona-Regeln: • Wenn","Rathausplatz, 73728 Esslingen am Neckar",23. November bis 22. Dezember,"•Eröffnungstag: 16 bis 20 Uhr 
•Sonntag bis Donnerstag: 12 bis 20 Uhr
•Freitag bis Samstag: 12 bis 21 Uhr
","• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G. 
• Mitmachaktionen wie die Badzuber, die Künstlerbühne oder interaktive Angebote wie das Mäuseroulette fallen in diesem Jahr aus.
��",Als einer der bekanntesten Weihnachtsmärkte in der Region kombiniert er mittelalterliches Flair mit weihnachtlicher Stimmung in der fachwerkgeprägten Altstadt.,https://www.esslingen-marketing.de/weihnachtsmarkt-3,Germany
Kätchen Weihnachtsmarkt Heilbronn,74072 Heilbronn-Innenstadt,Ort: 74072 Heilbronn-Innenstadt<br>Datum: 25. November bis 22. Dezember<br>Öffnungszeiten: • Montag bis Freitag: 13 bis 20 Uhr<br>• Samstag bis Sonntag: 11 bis 20 Uhr<br><br>Corona-Regeln: • Der Zugang zu rund 70 Ständen in der Fußgängerzone is,74072 Heilbronn-Innenstadt,25. November bis 22. Dezember,"• Montag bis Freitag: 13 bis 20 Uhr
• Samstag bis Sonntag: 11 bis 20 Uhr
","• Der Zugang zu rund 70 Ständen in der Fußgängerzone ist frei.
• Zwei Gastrobereiche mit Glühweinausschank und Essensständen werden eingezäunt sein, hier gibt es Einlasskontrollen. Dort gilt 3G bzw. im Fall der Alarmstufe 2G.
","Besonderes Highlight für Familien in diesem Jahr: ein Vergnügungsparkt mit Riesenrad und Kinderkarussells stehen vom 25. November bis zum 7. Januar auf dem Platz am Bollwerksturm. An den Adventswochenenden können Bus, Bahn und Stadtbahn kostenlos genu",https://www.heilbronn.de/tourismus/veranstaltungen/veranstaltungskalender/veranstaltung/kaethchen-weihnachtsmarkt-heilbronn-24549.html?cHash=07c37717a53f04a0b662b3471bd94a21,Germany
Goldener Pforzheimer Weihnachtsmarkt,"75172 Pforzheim, Innenstadt","Ort: 75172 Pforzheim, Innenstadt<br>Datum: 22. November bis 22. Dezember<br>Öffnungszeiten: Täglich 12 bis 20Uhr<br>Corona-Regeln: • Der Markt ist grundsätzlich frei zugänglich.<br>• Für den Verzehr von Speißen und Getränken an den Ständen gi","75172 Pforzheim, Innenstadt",22. November bis 22. Dezember,Täglich 12 bis 20Uhr,"• Der Markt ist grundsätzlich frei zugänglich.
• Für den Verzehr von Speißen und Getränken an den Ständen gilt 2G (Falls Alarmstufe gilt: 2G). Ihr erhaltet dazu als Besucher an den Kontrollstellen einen Stempel, den Ihr an den Ständen vorzeigt","Hingucker ist die 20 Meter hohe Engels-Pyramide, eine der höchsten, begehbaren Weihnachtspyramiden Deutschlands.",https://www.ws-pforzheim.de/standortmarketing/events-aktionen/weihnachtszauber-in-der-goldstadt/goldener-weihnachtsmarkt/49-goldener-weihnachtsmarkt.html,Germany
chokoMARKT Tübingen,"Am Markt 1, 72070 Tübingen","Ort: Am Markt 1, 72070 Tübingen<br>Datum: 30. November bis 5. Dezember<br>Öffnungszeiten: • Täglich 10 bis 20 Uhr • 30. November: 13 bis 20 Uhr • 4. Dezember: 10 bis 22 Uhr • 5. Dezember 10 bis 18 Uhr<br>Corona-Regeln: Details sollen bis zum 2","Am Markt 1, 72070 Tübingen",30. November bis 5. Dezember,• Täglich 10 bis 20 Uhr • 30. November: 13 bis 20 Uhr • 4. Dezember: 10 bis 22 Uhr • 5. Dezember 10 bis 18 Uhr,Details sollen bis zum 25. November bekannt gegeben werden. In diesem Jahr wird die chocolART zum reinen Verkaufsmarkt für Schokoladen-Spezialitäten. Der Verkauf von Produkten ohne Verzehr ist nach aktuell gültiger Corona-Verordnung in jedem Fall mög,"Schokodurft in Tübingens Altstadt - hier bekommt Ihr erlesene Schokoladenkreationen, von hochwertigen Tafeln über Pralinen bis zu Brownies und Keksen.",https://www.chocolart.de/,Germany
Tübinger Weihnachtsmarkt,"Am Markt 1, 72070 Tübingen","Ort: Am Markt 1, 72070 Tübingen<br>Datum: 10. bis 12. Dezember<br>Öffnungszeiten: • Freitag und Samstag von 10 bis 21 Uhr<br>• Sonntag von 11 bis 18 Uhr<br><br>Corona-Regeln: • Maskenpflicht auf dem gesamten Marktgelände<br>• Wenn Ihr direkt v","Am Markt 1, 72070 Tübingen",10. bis 12. Dezember,"• Freitag und Samstag von 10 bis 21 Uhr
• Sonntag von 11 bis 18 Uhr
","• Maskenpflicht auf dem gesamten Marktgelände
• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G. Die Kontakterfassung findet an den einzelnen Ständen per QR-Code statt. Es gibt keine S","An 60 Ständen findet Ihr selbst hergestellte, weihnachtliche Geschenkartikel. Für Kinder steht vor dem Rathaus ein Karussell.",https://www.tuebingen.de/108.html#/30374,Germany
Ludwigsburger Barock-Weihnachtsmarkt,"Marktplatz, 71634 Ludwigsburg","Ort: Marktplatz, 71634 Ludwigsburg<br>Datum: 23. November bis 22. Dezember<br>Öffnungszeiten: • Täglich von 11 bis 21 Uhr<br>Corona-Regeln: • Maskenpflicht auf dem gesamten Marktgelände<br>• Wenn Ihr direkt vor Ort Essen und Trinken wollt, brauc","Marktplatz, 71634 Ludwigsburg",23. November bis 22. Dezember,• Täglich von 11 bis 21 Uhr,"• Maskenpflicht auf dem gesamten Marktgelände
• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G.
• An Info-Ständen an den Hauptzugängen erhaltet Ihr gegen Vorzeigen eines entspreche",Das barocke Ludwigsburg ist immer eine Reise wert. Der Weihnachtsmarkt mit über 180 Ausstellern findet auf dem festlich geschmückten Marktplatz statt.,"https://visit.ludwigsburg.de/,(anker18995154)/start/events/ludwigsburger+barock-weihnachtsmarkt.html#anker18995154",Germany
Weihnachtsmarkt Freiburg,"Rathausplatz, 79098 Freiburg im Breisgau","Ort: Rathausplatz, 79098 Freiburg im Breisgau<br>Datum: 18. November bis 23. Dezember<br>Öffnungszeiten: • Montag bis Samstag: 10 bis 20:30 Uhr<br>• Sonntag: 11:30 bis 19:30 Uhr<br>• 21. November (Totensonntag): geschlossen<br><br>Corona-Regeln: �","Rathausplatz, 79098 Freiburg im Breisgau",18. November bis 23. Dezember,"• Montag bis Samstag: 10 bis 20:30 Uhr
• Sonntag: 11:30 bis 19:30 Uhr
• 21. November (Totensonntag): geschlossen
","• Maskenpflicht auf dem gesamten Marktgelände
• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G.
• Die Prüfung der Nachweise übernehmen sogenannte ""Scouts"", die über den Markt vert","Über 120 Marktstände und ein Lichtermeer, das sich bis in den Colombipark erstreckt, laden dieses Jahr in Freiburg zum Weihnachtsspaziergang ein.",https://weihnachtsmarkt.freiburg.de/,Germany
Karlsruher Christkindlesmarkt,"Marktplatz, 76133 Karlsruhe","Ort: Marktplatz, 76133 Karlsruhe<br>Datum: 22. November bis 23. Dezember<br>Öffnungszeiten: • Täglich von 11 bis 21 Uhr<br>• Donnerstag bis Samstag bis 22 Uhr<br><br>Corona-Regeln: • Maskenpflicht auf dem gesamten Marktgelände<br>• Wenn Ihr di","Marktplatz, 76133 Karlsruhe",22. November bis 23. Dezember,"• Täglich von 11 bis 21 Uhr
• Donnerstag bis Samstag bis 22 Uhr
","• Maskenpflicht auf dem gesamten Marktgelände
• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G.
• Der Markt ist grundsätzlich frei zugänglich, der Gastronomiebereich vor dem Rathau","Highlight besonders für Familien ist ein neues Riesenrad auf dem Marktplatz. Neben dem Marktplatz erstreckt sich der Christkindlesmarkt auch auf den Friedrichsplatz mit den beleuchteten Bäumen der ""Waldweihnacht"" und auf den Kirchplatz St. Stephan.",https://www.karlsruhe.de/b3/maerkte/christkindlesmarkt.de,Germany
Ulmer Weihnachtsmarkt,"Münsterplatz, 89073 Ulm","Ort: Münsterplatz, 89073 Ulm<br>Datum: 22. November bis 22. Dezember<br>Öffnungszeiten: • Täglich von 10 bis 20:30 Uhr<br>Corona-Regeln: • Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt","Münsterplatz, 89073 Ulm",22. November bis 22. Dezember,• Täglich von 10 bis 20:30 Uhr,"• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G.
• Weitere Details sind noch nicht bekannt gegeben.
",,https://www.ulmer-weihnachtsmarkt.de/,Germany
Reutlinger Weihnachtsmarkt,"Weibermarkt, 72764 Reutlingen","Ort: Weibermarkt, 72764 Reutlingen<br>Datum: 24. November bis 21. Dezember<br>Öffnungszeiten: • Täglich von 10:30 bis 20:30 Uhr<br>• Sonntags von 11 bis 20 Uhr<br><br>Corona-Regeln: • Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr e","Weibermarkt, 72764 Reutlingen",24. November bis 21. Dezember,"• Täglich von 10:30 bis 20:30 Uhr
• Sonntags von 11 bis 20 Uhr
","• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G.
• Der Markt ist auf mehrere Bereiche ausgedehnt, dazu gehören der Albtorplatz, der Weibermarkt, ein Teil des Marktplatzes, der Bereich",Highlights sind die Schlittschuhbahn an der Stadthalle und ein Riesenrad am Bürgerpark. Die klassischen Verkaufsstände konzentrieren sich rund um die Marienkirche.,http://www.weihnachtsmarkt-reutlingen.de/index.html,Germany
Göppinger Advent,"Marktplatz, 73033 Göppingen","Ort: Marktplatz, 73033 Göppingen<br>Datum: 25. November bis 22. Dezember<br>Öffnungszeiten: <br>Corona-Regeln: <br>Beschreibung: ABGESAGT - Auch wenn ursprünglich angekündigt, kann der Weihnachtsmarkt nun doch nicht stattfinden.<br>Website: https://w","Marktplatz, 73033 Göppingen",25. November bis 22. Dezember,,,"ABGESAGT - Auch wenn ursprünglich angekündigt, kann der Weihnachtsmarkt nun doch nicht stattfinden.",https://www.goeppinger-city.de/2021/10/25/goeppinger-advent/,Germany
Weihnachtsmarkt Rottweil,"Friedrichsplatz, 78628 Rottweil","Ort: Friedrichsplatz, 78628 Rottweil<br>Datum: 2. bis 12. Dezember<br>Öffnungszeiten: • Montag bis Donnerstag: 12 bis 20 Uhr<br>• Freitag: 12 bis 21 Uhr<br>• Samstag: 10 bis 21 Uhr<br>• Sonntag: 11 bis 20 Uhr<br><br>Corona-Regeln: • Wenn Ihr d","Friedrichsplatz, 78628 Rottweil",2. bis 12. Dezember,"• Montag bis Donnerstag: 12 bis 20 Uhr
• Freitag: 12 bis 21 Uhr
• Samstag: 10 bis 21 Uhr
• Sonntag: 11 bis 20 Uhr
","• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G.
• Weitere Details sind noch nicht bekannt gegeben.
",,https://www.rottweil.de/de/Kultur-Tourismus/Veranstaltungen/Feste-Festivals/Weihnachtsmarkt,Germany
Gmünder Weihnachtsmarkt,"Marktplatz, 73525 Schwäbisch Gmünd","Ort: Marktplatz, 73525 Schwäbisch Gmünd<br>Datum: 25. November bis 21. Dezember<br>Öffnungszeiten: • Montag bis Freitag: 9 bis 18 Uhr • Samstag: 9 bis 14 Uhr<br>Corona-Regeln: • Maskenpflicht auf dem gesamten Marktgelände<br>• Wenn Ihr direkt","Marktplatz, 73525 Schwäbisch Gmünd",25. November bis 21. Dezember,• Montag bis Freitag: 9 bis 18 Uhr • Samstag: 9 bis 14 Uhr,"• Maskenpflicht auf dem gesamten Marktgelände
• Wenn Ihr direkt vor Ort Essen und Trinken wollt, braucht Ihr einen 3G-Nachweis, im Falle der Alarmstufe gilt 2G.
• Ein entsprechendes Bändchen bekommt Ihr unter anderem nach Vorzeigen eines Impf-, T","Besonderes Highlight ist der Gmünder Adventskalender am Rathaus, an dem sich jeden Tag ein neues Türchen öffnet. Für Kinder gibt es eine Eisenbahn rund um den Weihnachtsbaum, ein Riesenrad und ein Märchenkarussell. Rund 70 Stände stehen auf dem Mar",https://www.schwaebisch-gmuend.de/veranstaltung/weihnachtsmarkt-10842.html,Germany